Symbol,Date,Open,High,Low,Close,Volume
AAAU,08-Jan-2020,15.75,15.75,15.4865,15.56,136600
AADR,08-Jan-2020,54.07,54.63,54.07,54.4789,184700
AAMC,08-Jan-2020,13.5256,13.683,12.83,13.683,2400
AAU,08-Jan-2020,0.57,0.59,0.54,0.54,302300
ACES,08-Jan-2020,34.8,35.1025,34.75,34.9951,12300
ACIO,08-Jan-2020,25.6436,25.69,25.609,25.609,11300
ACSG,08-Jan-2020,28.13,28.13,28.13,28.13,400
ACSI,08-Jan-2020,35.43,35.67,35.42,35.5348,1800
ACU,08-Jan-2020,23.6159,23.9207,23.6,23.849,8600
ACWF,08-Jan-2020,31.05,31.3198,31.05,31.2373,5500
ACWV,08-Jan-2020,95.64,96,95.64,95.74,478000
ACY,08-Jan-2020,4.5,4.57,4.5,4.56,1400
ADME,08-Jan-2020,30.52,30.69,30.52,30.5983,9800
AE,08-Jan-2020,38.95,39.3035,38.025,38.6,10100
AEF,08-Jan-2020,7.7,7.78,7.68,7.74,52600
AESR,08-Jan-2020,10.16,10.16,10.1365,10.1365,3300
AFIF,08-Jan-2020,9.7237,9.735,9.7237,9.735,50400
AFK,08-Jan-2020,20.11,20.4399,20.11,20.35,21900
AFLG,08-Jan-2020,20.4852,20.4852,20.4852,20.4852,100
AFMC,08-Jan-2020,20.3309,20.3309,20.3309,20.3309,0
AFSM,08-Jan-2020,20.3844,20.3844,20.3844,20.3844,0
AFTY,08-Jan-2020,17.5669,17.6105,17.5669,17.568,1200
AGE,08-Jan-2020,1.8,1.94,1.7913,1.91,35500
AGG,08-Jan-2020,112.85,112.94,112.545,112.67,7323100
AGGP,08-Jan-2020,19.77,19.7767,19.7527,19.7548,16300
AGGY,08-Jan-2020,52.46,52.469,52.3061,52.38,169800
AGQ,08-Jan-2020,33.46,33.5,32.25,32.48,634200
AGT,08-Jan-2020,22.75,22.91,22.68,22.8571,4800
AGZ,08-Jan-2020,116.07,116.07,115.7342,115.87,12400
AIEQ,08-Jan-2020,28.79,29.0449,28.79,28.96,48700
AIIQ,08-Jan-2020,26.9137,27.0131,26.9137,26.96,2700
